datetime,variable,value
2018-07-06 18:58:56.000,UTC,1530903536
2018-07-06 18:58:56.000,comp_info,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
2018-07-06 18:58:56.000,exp_event,exp_start
2018-07-06 19:01:06.003,exp_event,birthyear_start
2018-07-06 19:01:12.952,birthyear,1995.0
2018-07-06 19:01:12.954,exp_event,gender_start
2018-07-06 19:01:14.709,gender,Female
2018-07-06 19:01:14.710,exp_event,degree_start
2018-07-06 19:01:20.866,degree,College graduate
2018-07-06 19:01:20.873,exp_event,race_start
2018-07-06 19:01:23.261,race,[u'White']
2018-07-06 19:01:23.280,exp_event,fluent_langs_start
2018-07-06 19:01:29.173,fluent_langs,[u'English']
2018-07-06 19:01:29.186,exp_event,familiar_langs_start
2018-07-06 19:01:43.191,familiar_langs,"[u'Spanish', u'French', u'Japanese']"
2018-07-06 19:01:45.461,exp_event,impair_start
2018-07-06 19:01:55.168,color_vision,Yes
2018-07-06 19:01:55.168,uncorr_impair,No
2018-07-06 19:01:55.170,exp_event,recent_meds_injuries_start
2018-07-06 19:02:06.735,recent_meds_injuries,no
2018-07-06 19:02:06.740,exp_event,alert_stress_start
2018-07-06 19:02:19.176,current_alert,A little alert
2018-07-06 19:02:19.176,current_stress,A little relaxed
2018-07-06 19:02:19.176,typical_stress,A little relaxed
2018-07-06 19:02:19.179,exp_event,sleep_hrs_start
2018-07-06 19:02:23.805,sleep_hrs,7.0
2018-07-06 19:02:23.809,exp_event,coffee_water_start
2018-07-06 19:02:30.998,coffee_cups,0
2018-07-06 19:02:30.998,water_cups,1
2018-07-06 19:02:31.003,exp_event,setting_activity_start
2018-07-06 19:02:39.155,job_activity,Active
2018-07-06 19:02:39.155,live_setting,Suburban
2018-07-06 19:02:39.158,exp_event,exercise_today_plan_start
2018-07-06 19:02:42.513,exercise_plan,Yes
2018-07-06 19:02:42.513,exercise_today,No
2018-07-06 19:02:42.515,exp_event,exercise_freq_start
2018-07-06 19:02:47.131,exercise_freq,7 days per week
2018-07-06 19:02:47.135,exp_event,exercise_tracker_motiv_start
2018-07-06 19:02:57.341,exercise_motiv,Physical Health
2018-07-06 19:02:57.341,tracker_sync_today,Yes
2018-07-06 19:02:57.341,tracker_wear_freq,Rarely
2018-07-06 19:02:57.344,exp_event,tracker_features_start
2018-07-06 19:03:10.780,tracker_features,"[u'Step Counts', u'Sleep Tracking', u'Weight Logs']"
2018-07-06 19:03:10.782,exp_event,tracker_motiv_start
2018-07-06 19:03:36.950,tracker_motiv," i don't wear it,  but would wear it to log weight loss."
2018-07-06 19:04:35.619,exp_event,wl_pres_1_start
2018-07-06 19:04:35.619,pres_word_1,DAISY
2018-07-06 19:04:39.622,pres_word_1,TOASTER
2018-07-06 19:04:43.625,pres_word_1,DRESS
2018-07-06 19:04:47.627,pres_word_1,SUNFLOWER
2018-07-06 19:04:51.632,pres_word_1,UTAH
2018-07-06 19:04:55.636,pres_word_1,ARIZONA
2018-07-06 19:04:59.643,pres_word_1,MONTANA
2018-07-06 19:05:03.648,pres_word_1,PANTS
2018-07-06 19:05:07.655,pres_word_1,KNIFE
2018-07-06 19:05:11.660,pres_word_1,LILY
2018-07-06 19:05:15.664,pres_word_1,SKILLET
2018-07-06 19:05:19.666,pres_word_1,UNDERWEAR
2018-07-06 19:05:23.669,pres_word_1,GIRDLE
2018-07-06 19:05:27.674,pres_word_1,FORK
2018-07-06 19:05:31.677,pres_word_1,MAINE
2018-07-06 19:05:35.680,pres_word_1,NARCISSUS
2018-07-06 19:07:18.156,exp_event,wl_pres_2_start
2018-07-06 19:07:18.156,pres_word_2,ACCORDION
2018-07-06 19:07:22.158,pres_word_2,LIP
2018-07-06 19:07:26.162,pres_word_2,WORM
2018-07-06 19:07:30.164,pres_word_2,EUCALYPTUS
2018-07-06 19:07:34.166,pres_word_2,SCORPION
2018-07-06 19:07:38.168,pres_word_2,WILLOW
2018-07-06 19:07:42.172,pres_word_2,ANKLE
2018-07-06 19:07:46.177,pres_word_2,ASH
2018-07-06 19:07:50.181,pres_word_2,POPLAR
2018-07-06 19:07:54.186,pres_word_2,FINGER
2018-07-06 19:07:58.192,pres_word_2,XYLOPHONE
2018-07-06 19:08:02.197,pres_word_2,HAND
2018-07-06 19:08:06.202,pres_word_2,LARVA
2018-07-06 19:08:10.206,pres_word_2,GUITAR
2018-07-06 19:08:14.212,pres_word_2,BONGOS
2018-07-06 19:08:18.216,pres_word_2,MONARCH
