datetime,variable,value
2018-07-11 06:45:05.000,UTC,1531291505
2018-07-11 06:45:05.000,comp_info,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
2018-07-11 06:45:05.000,exp_event,exp_start
2018-07-11 06:48:43.808,exp_event,birthyear_start
2018-07-11 06:48:51.169,birthyear,1996.0
2018-07-11 06:48:51.178,exp_event,gender_start
2018-07-11 06:48:53.063,gender,Male
2018-07-11 06:48:53.067,exp_event,degree_start
2018-07-11 06:48:56.918,degree,College graduate
2018-07-11 06:48:56.929,exp_event,race_start
2018-07-11 06:48:59.463,race,[u'White']
2018-07-11 06:48:59.524,exp_event,fluent_langs_start
2018-07-11 06:49:07.610,fluent_langs,[u'English']
2018-07-11 06:49:07.674,exp_event,familiar_langs_start
2018-07-11 06:49:13.313,familiar_langs,"[u'English', u'Other']"
2018-07-11 06:49:14.189,exp_event,impair_start
2018-07-11 06:49:16.990,color_vision,Yes
2018-07-11 06:49:16.990,uncorr_impair,Yes
2018-07-11 06:49:16.993,exp_event,recent_meds_injuries_start
2018-07-11 06:49:23.622,recent_meds_injuries, good
2018-07-11 06:49:23.640,exp_event,alert_stress_start
2018-07-11 06:49:28.166,current_alert,Very sluggish
2018-07-11 06:49:28.166,current_stress,Very stressed
2018-07-11 06:49:28.166,typical_stress,Very stressed
2018-07-11 06:49:28.172,exp_event,sleep_hrs_start
2018-07-11 06:49:32.112,sleep_hrs,1.0
2018-07-11 06:49:32.127,exp_event,coffee_water_start
2018-07-11 06:49:35.881,coffee_cups,1
2018-07-11 06:49:35.881,water_cups,1
2018-07-11 06:49:35.892,exp_event,setting_activity_start
2018-07-11 06:49:40.135,job_activity,Active
2018-07-11 06:49:40.135,live_setting,Rural
2018-07-11 06:49:40.141,exp_event,exercise_today_plan_start
2018-07-11 06:49:42.695,exercise_plan,Yes
2018-07-11 06:49:42.695,exercise_today,Yes
2018-07-11 06:49:42.699,exp_event,exercise_freq_start
2018-07-11 06:49:46.302,exercise_freq,1 day per week
2018-07-11 06:49:46.317,exp_event,exercise_tracker_motiv_start
2018-07-11 06:49:50.384,exercise_motiv,Physical Health
2018-07-11 06:49:50.384,tracker_sync_today,Yes
2018-07-11 06:49:50.384,tracker_wear_freq,Every Day
2018-07-11 06:49:50.398,exp_event,tracker_features_start
2018-07-11 06:49:53.399,tracker_features,[u'Sleep Tracking']
2018-07-11 06:49:53.401,exp_event,tracker_motiv_start
2018-07-11 06:49:58.254,tracker_motiv, good
2018-07-11 06:50:04.540,exp_event,wl_pres_1_start
2018-07-11 06:50:04.540,pres_word_1,TEAK
2018-07-11 06:50:08.542,pres_word_1,SWEATER
2018-07-11 06:50:12.544,pres_word_1,CHICAGO
2018-07-11 06:50:16.547,pres_word_1,RENO
2018-07-11 06:50:20.548,pres_word_1,BRA
2018-07-11 06:50:24.551,pres_word_1,MILLIPEDE
2018-07-11 06:50:28.553,pres_word_1,GLOVES
2018-07-11 06:50:32.556,pres_word_1,CEDAR
2018-07-11 06:50:36.558,pres_word_1,MANTIS
2018-07-11 06:50:40.560,pres_word_1,MOSQUITO
2018-07-11 06:50:44.563,pres_word_1,BERLIN
2018-07-11 06:50:48.565,pres_word_1,SYDNEY
2018-07-11 06:50:52.567,pres_word_1,SYCAMORE
2018-07-11 06:50:56.569,pres_word_1,HORNET
2018-07-11 06:51:00.571,pres_word_1,TROUSERS
2018-07-11 06:51:04.573,pres_word_1,PALM
2018-07-11 06:52:42.439,exp_event,wl_pres_2_start
2018-07-11 06:52:42.439,pres_word_2,ELEPHANT
2018-07-11 06:52:46.441,pres_word_2,POLAND
2018-07-11 06:52:50.443,pres_word_2,ITALY
2018-07-11 06:52:54.445,pres_word_2,ZEBRA
2018-07-11 06:52:58.448,pres_word_2,BASS
2018-07-11 06:53:02.450,pres_word_2,VIOLA
2018-07-11 06:53:06.453,pres_word_2,TROMBONE
2018-07-11 06:53:10.456,pres_word_2,ETHIOPIA
2018-07-11 06:53:14.459,pres_word_2,PIG
2018-07-11 06:53:18.461,pres_word_2,YAMS
2018-07-11 06:53:22.462,pres_word_2,MARACAS
2018-07-11 06:53:26.465,pres_word_2,LETTUCE
2018-07-11 06:53:30.467,pres_word_2,AUSTRALIA
2018-07-11 06:53:34.468,pres_word_2,CARROT
2018-07-11 06:53:38.472,pres_word_2,LION
2018-07-11 06:53:42.475,pres_word_2,CELERY
2018-07-11 06:55:24.887,exp_event,wl_pres_3_start
2018-07-11 06:55:24.887,pres_word_3,WASP
2018-07-11 06:55:28.888,pres_word_3,CHRYSALIS
2018-07-11 06:55:32.891,pres_word_3,PENNSYLVANIA
2018-07-11 06:55:36.892,pres_word_3,OHIO
2018-07-11 06:55:40.894,pres_word_3,BEETLE
2018-07-11 06:55:44.897,pres_word_3,RHINOCEROS
2018-07-11 06:55:48.899,pres_word_3,RABBIT
2018-07-11 06:55:52.901,pres_word_3,RUTABAGA
2018-07-11 06:55:56.908,pres_word_3,GINGER
2018-07-11 06:56:00.911,pres_word_3,OKRA
2018-07-11 06:56:04.913,pres_word_3,TEXAS
2018-07-11 06:56:08.916,pres_word_3,LLAMA
2018-07-11 06:56:12.918,pres_word_3,TERMITE
2018-07-11 06:56:16.921,pres_word_3,ALASKA
2018-07-11 06:56:20.923,pres_word_3,PUMPKIN
2018-07-11 06:56:24.924,pres_word_3,FOX
2018-07-11 06:58:03.005,exp_event,wl_pres_4_start
2018-07-11 06:58:03.005,pres_word_4,ELM
2018-07-11 06:58:07.007,pres_word_4,MAPLE
2018-07-11 06:58:11.009,pres_word_4,HAMMER
